"","pop_city","sec_city","gdp_city","pgdp_city","firm_city","gonglu","emit_ww","emit_so1","emi_dust1","city_code"
"254",74,NA,NA,NA,NA,NA,NA,NA,NA,45983
"255",78,3607,1877546,23838,15,268,NA,NA,NA,11788
"256",825,754834,62571800,71357,1220,15773,4030,74754,1093460,29636
"257",84,52326,3116070,36803,205,1348,348,70327,1741608,75849
"258",384,207510,19321400,51262,662,9505,3565,86550,2104684,61499
"259",530,285074,23909700,48016,956,8435,4450,105987,2502228,42337
"260",557,185165,14886210,27743,512,9319,4450,432216,2665481,102730
"261",237,143299,10829110,48300,144,3145,2980,42944,646221,80532
"262",384,104221,11564920,33597,482,2303,2192,62108,3338715,60216
"263",382,175098,27730540,81764,767,2870,6754,426833,5336400,85807
"264",304,50380,8428616,31770,568,3371,236,6326,147098,8027
"265",253,82010,6992980,29574,229,3250,952,199171,486350,24371
"266",324,299999,22642318,61207,357,4213,3342,108372,3199994,37241
"267",21,41160,1534089,62641,43,7993,33007,139448,2374116,81617
"268",46,67720,2078152,44202,90,440,1553,361821,2573408,38294
"269",182,71284,4422085,25813,159,2007,398,576542,1958691,79412
"270",371,71302,5905136,17800,162,3194,330,12611,622248,58529
"271",191,50957,4617272,25396,261,4779,342,8888,227177,75577
"272",131,37756,3999436,32729,226,1819,904,22328,427549,20846
"273",234,72595,3673000,17486,121,3761,681,73946,1904342,21172
"274",112,60071,5779341,51721,266,8540,509,29975,130172,12143
"275",270,62972,5978324,26734,121,2814,242,8089,42186,78021
"276",303,43518,3310768,11892,152,2856,201,12801,55206,105016
"277",288,37300,3398884,13805,87,3254,1214,16719,839086,82806
"278",203,137892,12481677,53756,278,1950,NA,NA,NA,41112
"279",171,16602,4227986,28999,111,1789,NA,NA,NA,67679
"280",184,139750,16177071,74288,464,3447,3672,NA,NA,55714
"281",75,40841,5135744,64880,205,1134,1335,287442,10140089,30831
"282",142,33280,4424283,32039,340,1112,1015,233004,2889944,41982
"283",150,8097,2398058,19720,52,1141,99,48141,439782,32030
"284",268,238141,24589766,69865,368,1805,4489,219318,2073113,17604
"285",30,107740,6209989,137307,79,93,1529,138951,769114,105229
"286",63,NA,NA,NA,NA,NA,NA,NA,NA,80814
"287",56,NA,NA,NA,NA,NA,NA,NA,NA,39902
